id,self_1_km_pos_voxels,self_1_km_pos_volume
301,2,16
302,0,0
303,0,0
304,2,16
305,0,0
306,0,0
307,0,0
308,4,32
309,0,0
310,0,0
311,1,8
312,0,0
313,5,40
314,1,8
315,3,24
316,6,48
317,0,0
318,3,24
319,0,0
320,3,24
321,0,0
322,0,0
323,0,0
324,1,8
325,0,0
326,3,24
327,5,40
328,0,0
329,3,24
330,0,0
401,0,0
402,0,0
403,0,0
404,0,0
405,6,48
406,0,0
407,0,0
408,0,0
409,0,0
410,0,0
411,0,0
412,0,0
413,3,24
414,0,0
415,0,0
416,0,0
417,0,0
418,2,16
419,3,24
420,0,0